Created as New Dataset, , 
s, A, 
0.00, 0.0829, 
1.00, 0.0791, 
2.00, 0.0777, 
3.00, 0.0738, 
4.00, 0.0732, 
5.00, 0.0716, 
6.00, 0.0705, 
7.00, 0.0692, 
8.00, 0.0667, 
9.00, 0.0653, 
10.00, 0.0647, 
11.00, 0.0636, 
12.00, 0.0623, 
13.00, 0.0620, 
14.00, 0.0608, 
15.00, 0.0601, 
16.00, 0.0596, 
17.00, 0.0588, 
18.00, 0.0588, 
19.00, 0.0579, 
20.00, 0.0573, 
21.00, 0.0567, 
22.00, 0.0560, 
23.00, 0.0556, 
24.00, 0.0553, 
25.00, 0.0539, 
26.00, 0.0544, 
27.00, 0.0536, 
28.00, 0.0531, 
29.00, 0.0523, 
30.00, 0.0513, 
31.00, 0.0517, 
32.00, 0.0509, 
33.00, 0.0503, 
34.00, 0.0508, 
35.00, 0.0502, 
36.00, 0.0496, 
37.00, 0.0492, 
38.00, 0.0484, 
39.00, 0.0483, 
40.00, 0.0486, 
41.00, 0.0473, 
42.00, 0.0483, 
43.00, 0.0472, 
44.00, 0.0464, 
45.00, 0.0460, 
46.00, 0.0457, 
47.00, 0.0454, 
48.00, 0.0453, 
49.00, 0.0454, 
50.00, 0.0450, 
51.00, 0.0446, 
52.00, 0.0443, 
53.00, 0.0439, 
54.00, 0.0427, 
55.00, 0.0429, 
56.00, 0.0429, 
57.00, 0.0435, 
58.00, 0.0423, 
59.00, 0.0418, 
60.00, 0.0417, 
61.00, 0.0416, 
62.00, 0.0418, 
63.00, 0.0411, 
64.00, 0.0418, 
65.00, 0.0414, 
66.00, 0.0407, 
67.00, 0.0413, 
68.00, 0.0411, 
69.00, 0.0406, 
70.00, 0.0398, 
71.00, 0.0386, 
72.00, 0.0393, 
73.00, 0.0402, 
74.00, 0.0400, 
75.00, 0.0390, 
76.00, 0.0387, 
77.00, 0.0395, 
78.00, 0.0386, 
79.00, 0.0386, 
80.00, 0.0382, 
81.00, 0.0387, 
82.00, 0.0380, 
83.00, 0.0375, 
84.00, 0.0382, 
85.00, 0.0381, 
86.00, 0.0372, 
87.00, 0.0377, 
88.00, 0.0372, 
89.00, 0.0364, 
90.00, 0.0367, 
91.00, 0.0371, 
92.00, 0.0364, 
93.00, 0.0365, 
94.00, 0.0363, 
95.00, 0.0360, 
96.00, 0.0368, 
97.00, 0.0362, 
98.00, 0.0361, 
99.00, 0.0356, 
100.00, 0.0356, 
101.00, 0.0358, 
102.00, 0.0360, 
103.00, 0.0355, 
104.00, 0.0359, 
105.00, 0.0356, 
106.00, 0.0352, 
107.00, 0.0350, 
108.00, 0.0348, 
109.00, 0.0346, 
110.00, 0.0346, 
111.00, 0.0353, 
112.00, 0.0353, 
113.00, 0.0345, 
114.00, 0.0342, 
115.00, 0.0346, 
116.00, 0.0341, 
117.00, 0.0345, 
118.00, 0.0339, 
119.00, 0.0346, 
120.00, 0.0339, 
121.00, 0.0343, 
122.00, 0.0334, 
123.00, 0.0335, 
124.00, 0.0346, 
125.00, 0.0340, 
126.00, 0.0334, 
127.00, 0.0333, 
128.00, 0.0343, 
129.00, 0.0334, 
130.00, 0.0328, 
131.00, 0.0331, 
132.00, 0.0328, 
133.00, 0.0334, 
134.00, 0.0327, 
135.00, 0.0322, 
136.00, 0.0328, 
137.00, 0.0326, 
138.00, 0.0327, 
139.00, 0.0335, 
140.00, 0.0324, 
141.00, 0.0326, 
142.00, 0.0323, 
143.00, 0.0322, 
144.00, 0.0321, 
145.00, 0.0313, 
146.00, 0.0327, 
147.00, 0.0321, 
148.00, 0.0312, 
149.00, 0.0323, 
150.00, 0.0321, 
151.00, 0.0328, 
152.00, 0.0323, 
153.00, 0.0319, 
154.00, 0.0327, 
155.00, 0.0316, 
156.00, 0.0321, 
157.00, 0.0324, 
158.00, 0.0322, 
159.00, 0.0310, 
160.00, 0.0315 
