Created as New Dataset, Dark, 
s, A, 
0.00, 0.0719, 
1.00, 0.0710, 
2.00, 0.0688, 
3.00, 0.0676, 
4.00, 0.0663, 
5.00, 0.0650, 
6.00, 0.0633, 
7.00, 0.0605, 
8.00, 0.0601, 
9.00, 0.0584, 
10.00, 0.0566, 
11.00, 0.0545, 
12.00, 0.0535, 
13.00, 0.0524, 
14.00, 0.0502, 
15.00, 0.0479, 
16.00, 0.0468, 
17.00, 0.0456, 
18.00, 0.0434, 
19.00, 0.0410, 
20.00, 0.0399, 
21.00, 0.0388, 
22.00, 0.0365, 
23.00, 0.0347, 
24.00, 0.0328, 
25.00, 0.0319, 
26.00, 0.0296, 
27.00, 0.0279, 
28.00, 0.0259, 
29.00, 0.0242, 
30.00, 0.0230, 
31.00, 0.0207, 
32.00, 0.0198, 
33.00, 0.0180, 
34.00, 0.0169, 
35.00, 0.0145, 
36.00, 0.0132, 
37.00, 0.0116, 
38.00, 0.0105, 
39.00, 0.0090, 
40.00, 0.0074, 
41.00, 0.0056, 
42.00, 0.0036, 
43.00, 0.0020, 
44.00, 0.0006, 
45.00, -0.0002, 
46.00, -0.0014, 
47.00, -0.0036, 
48.00, -0.0045, 
49.00, -0.0059, 
50.00, -0.0069, 
51.00, -0.0089, 
52.00, -0.0097, 
53.00, -0.0112, 
54.00, -0.0122, 
55.00, -0.0134, 
56.00, -0.0145, 
57.00, -0.0149, 
58.00, -0.0169, 
59.00, -0.0174, 
60.00, -0.0182, 
61.00, -0.0191, 
62.00, -0.0202, 
63.00, -0.0208, 
64.00, -0.0216, 
65.00, -0.0232, 
66.00, -0.0223, 
67.00, -0.0230, 
68.00, -0.0238, 
69.00, -0.0248, 
70.00, -0.0248, 
71.00, -0.0248, 
72.00, -0.0249, 
73.00, -0.0247, 
74.00, -0.0258, 
75.00, -0.0254, 
76.00, -0.0255, 
77.00, -0.0252, 
78.00, -0.0253, 
79.00, -0.0265, 
80.00, -0.0262, 
81.00, -0.0260, 
82.00, -0.0265, 
83.00, -0.0261, 
84.00, -0.0258, 
85.00, -0.0264, 
86.00, -0.0263, 
87.00, -0.0264, 
88.00, -0.0266, 
89.00, -0.0260, 
90.00, -0.0262, 
91.00, -0.0271, 
92.00, -0.0263, 
93.00, -0.0272, 
94.00, -0.0264, 
95.00, -0.0270, 
96.00, -0.0274, 
97.00, -0.0267, 
98.00, -0.0265, 
99.00, -0.0275, 
100.00, -0.0267, 
101.00, -0.0265, 
102.00, -0.0268, 
103.00, -0.0263, 
104.00, -0.0268, 
105.00, -0.0268, 
106.00, -0.0269, 
107.00, -0.0271, 
108.00, -0.0270, 
109.00, -0.0272, 
110.00, -0.0263, 
111.00, -0.0271, 
112.00, -0.0280, 
113.00, -0.0261, 
114.00, -0.0269, 
115.00, -0.0265, 
116.00, -0.0272, 
117.00, -0.0269, 
118.00, -0.0275, 
119.00, -0.0263, 
120.00, -0.0273, 
121.00, -0.0270, 
122.00, -0.0267, 
123.00, -0.0267, 
124.00, -0.0269, 
125.00, -0.0281, 
126.00, -0.0273, 
127.00, -0.0270, 
128.00, -0.0268, 
129.00, -0.0270, 
130.00, -0.0272, 
131.00, -0.0274, 
132.00, -0.0273, 
133.00, -0.0273, 
134.00, -0.0271, 
135.00, -0.0268, 
136.00, -0.0269, 
137.00, -0.0264, 
138.00, -0.0268, 
139.00, -0.0264, 
140.00, -0.0268, 
141.00, -0.0269, 
142.00, -0.0271, 
143.00, -0.0265, 
144.00, -0.0267, 
145.00, -0.0267, 
146.00, -0.0277, 
147.00, -0.0269, 
148.00, -0.0268, 
149.00, -0.0270, 
150.00, -0.0272, 
151.00, -0.0273, 
152.00, -0.0277, 
153.00, -0.0269, 
154.00, -0.0273, 
155.00, -0.0273, 
156.00, -0.0270, 
157.00, -0.0263, 
158.00, -0.0277, 
159.00, -0.0274, 
160.00, -0.0265, 
161.00, -0.0276, 
162.00, -0.0279, 
163.00, -0.0266, 
164.00, -0.0271, 
165.00, -0.0262, 
166.00, -0.0274, 
167.00, -0.0268, 
168.00, -0.0277, 
169.00, -0.0271, 
170.00, -0.0284, 
171.00, -0.0276, 
172.00, -0.0276, 
173.00, -0.0276, 
174.00, -0.0272, 
175.00, -0.0266, 
176.00, -0.0280, 
177.00, -0.0268, 
178.00, -0.0273, 
179.00, -0.0276, 
180.00, -0.0275, 
181.00, -0.0278, 
182.00, -0.0271, 
183.00, -0.0278, 
184.00, -0.0275, 
185.00, -0.0275, 
186.00, -0.0280, 
187.00, -0.0273, 
188.00, -0.0274, 
189.00, -0.0281, 
190.00, -0.0271, 
191.00, -0.0278, 
192.00, -0.0276, 
193.00, -0.0275, 
194.00, -0.0268, 
195.00, -0.0274, 
196.00, -0.0264, 
197.00, -0.0270, 
198.00, -0.0279, 
199.00, -0.0273, 
200.00, -0.0277, 
201.00, -0.0271, 
202.00, -0.0275, 
203.00, -0.0269, 
204.00, -0.0272, 
205.00, -0.0275, 
206.00, -0.0265, 
207.00, -0.0275, 
208.00, -0.0269, 
209.00, -0.0278, 
210.00, -0.0275, 
211.00, -0.0279, 
212.00, -0.0278, 
213.00, -0.0272, 
214.00, -0.0278, 
215.00, -0.0269, 
216.00, -0.0271, 
217.00, -0.0276, 
218.00, -0.0277, 
219.00, -0.0267, 
220.00, -0.0270, 
221.00, -0.0279, 
222.00, -0.0271, 
223.00, -0.0272, 
224.00, -0.0265, 
225.00, -0.0271, 
226.00, -0.0272, 
227.00, -0.0269, 
228.00, -0.0274, 
229.00, -0.0266, 
230.00, -0.0274, 
231.00, -0.0284 
